Time,Impedance
0.516215277777778,1255
2.70771990740741,755
2.95570601851852,765
3.99678240740741,810
6.99681712962963,1325
7.9971875,1413
10.9969328703704,1503
11.9970717592593,1600
12.9972222222222,1443
13.997337962963,1443
14.9967824074074,1443
15.9973148148148,1523
16.9973032407407,1528
17.9969907407407,1563
18.9972453703704,1548
21.9971064814815,1568
22.9973263888889,1600
23.9967939814815,1568
27.9555208333333,1403
28.9556828703704,993
29.9555439814815,1003
31.9552662037037,1008
32.955162037037,1003
34.9550925925926,1003
35.9550231481482,1008
39.9973263888889,1488
40.9971527777778,1488
41.9972685185185,1503
42.9969212962963,1503
43.9972106481481,1488
44.9974884259259,1488
45.9972106481481,1488
47.9969328703704,1488
48.9972337962963,1493
49.9972800925926,935
50.9972453703704,968
51.9970601851852,968
52.9972453703704,978
53.9967476851852,1003
55.9972453703704,993
56.9968865740741,993
57.9972337962963,973
58.9972569444444,1013
59.9967824074074,1013
60.9967476851852,1013
61.9968402777778,1008
62.9967361111111,1018
63.9969444444444,1008
64.9970833333333,1053
65.9969212962963,1073
66.9974884259259,1265
67.9969675925926,1325
68.9969791666667,1403
69.9968981481481,968
70.9969560185185,993
72.9972337962963,1003
74.9973032407407,1008
75.9967824074074,993
76.9967013888889,968
77.9972685185185,1008
78.9970833333333,1028
79.9971180555556,978
80.9973611111111,1043
82.997037037037,1153
92.9556018518519,1028
93.9554861111111,1048
94.9556365740741,1053
96.9551967592593,1013
97.9970023148148,1008
99.9972685185185,1008
100.997118055556,968
101.997233796296,1048
102.996979166667,968
103.997453703704,1003
104.997326388889,1008
105.99681712963,1008
106.996967592593,1008
107.997175925926,1008
108.996979166667,1008
109.996909722222,1008
110.955416666667,993
111.955289351852,1008
112.955289351852,1013
113.9553125,968
114.010821759259,968
114.021597222222,963
114.031805555556,950
114.042106481481,950
114.052534722222,950
114.062962962963,950
114.07337962963,950
114.084155092593,950
114.094236111111,950
114.105011574074,940
114.115439814815,935
114.125162037037,935
114.135590277778,935
114.146018518519,935
114.156446759259,935
114.166875,935
114.177291666667,935
114.187719907407,935
114.198148148148,935
114.208576388889,935
114.218993055556,940
114.22943287037,935
114.239849537037,935
114.250277777778,935
114.260706018519,935
114.271122685185,925
114.281550925926,935
114.291979166667,935
114.302453703704,935
114.312835648148,935
114.323252314815,935
114.333680555556,935
114.364953703704,935
114.375381944444,935
114.417083333333,940
114.437939814815,968
114.448715277778,968
114.458796296296,950
114.459074074074,950
114.459444444444,950
114.459722222222,950
114.460092592593,950
114.46037037037,950
114.460729166667,950
114.461006944444,950
114.461655092593,950
114.462291666667,950
114.462905092593,950
114.463854166667,950
114.464594907407,950
114.465243055556,950
114.46587962963,963
114.466527777778,963
114.467164351852,963
114.467766203704,963
114.468020833333,963
114.468599537037,950
114.468888888889,950
114.469201388889,950
114.469479166667,963
114.48,935
114.490069444444,950
114.500844907407,950
114.510925925926,940
114.521006944444,935
114.531782407407,940
114.541863425926,935
114.552627314815,940
114.562708333333,950
114.573483796296,940
114.583564814815,940
114.594340277778,940
114.60443287037,950
114.614837962963,950
114.625613425926,940
114.635694444444,940
114.646458333333,940
114.656574074074,935
114.666979166667,950
114.677743055556,950
114.687824074074,940
114.698599537037,940
114.708680555556,940
114.719108796296,940
114.729525462963,935
114.7403125,935
114.750729166667,935
114.761157407407,950
114.771585648148,940
114.782002314815,940
114.792430555556,963
114.813287037037,963
114.823715277778,950
114.834143518519,963
114.855023148148,968
114.875844907407,950
114.88556712963,950
114.896006944444,940
114.906446759259,940
114.916851851852,935
114.927280092593,950
114.937696759259,935
114.948125,935
114.955208333333,935
115.955671296296,973
116.955289351852,1003
117.955208333333,993
118.95505787037,1008
119.95537037037,968
120.95556712963,993
121.95568287037,968
122.955127314815,968
123.955266203704,950
124.955451388889,993
126.955219907407,950
127.955439814815,968
128.955127314815,940
128.969016203704,935
128.979768518519,935
128.990034722222,935
129.000277777778,935
129.011053240741,935
129.021134259259,935
129.031909722222,935
129.041979166667,935
129.05275462963,935
129.06318287037,935
129.073611111111,935
129.084027777778,935
129.094467592593,935
129.104884259259,930
129.1153125,925
129.125740740741,925
129.136168981481,915
129.146585648148,925
129.157025462963,915
129.16744212963,915
129.177881944444,895
129.188333333333,915
129.198726851852,915
129.209143518519,915
129.219594907407,895
129.23,915
129.240428240741,915
129.250844907407,915
129.260601851852,915
